especie,especieCBRO
Lophornis magnificus,Lophornis magnificus
Machaeropterus regulus,Machaeropterus regulus
Mackenziaena leachii,Mackenziaena leachii
Mackenziaena severa,Mackenziaena severa
Macronectes giganteus,Macronectes giganteus
Macronectes halli,Macronectes halli
Macropsalis creagra,Hydropsalis forcipata
Macropsalis forcipata,Hydropsalis forcipata
Manacus manacus,Manacus manacus
Megascops atricapilla,Megascops atricapilla
Megaxenops parnaguae,Megaxenops parnaguae
Melanerpes flavifrons,Melanerpes flavifrons
Mergus octosetaceus,Mergus octosetaceus
Merulaxis ater,Merulaxis ater
Merulaxis stresemanni,Merulaxis stresemanni
Mesembrinibis cayennensis,Mesembrinibis cayennensis
Micrastur mintoni,Micrastur mintoni
Micrastur mirandollei,Micrastur mirandollei
Micropygia schomburgkii,Micropygia schomburgkii
Micropygia schomburgkii chapmani,Micropygia schomburgkii chapmani
Microspingus lateralis,Microspingus lateralis
Milvago chimango,Milvago chimango
Mimus gilvus,Mimus gilvus
Mimus gilvus antelius,Mimus gilvus antelius
Molothrus oryzivorus,Molothrus oryzivorus
Momotus momota,Momotus momota
Monasa morphoeus,Monasa morphoeus
Monasa morphoeus morphoeus,Monasa morphoeus morphoeus
Monasa nigrifrons nigrifrons,Monasa nigrifrons nigrifrons
Morphnus guianensis,Morphnus guianensis
Mycteria americana,Mycteria americana
Myiarchus tyrannulus,Myiarchus tyrannulus
Myiobius atricaudus,Myiobius atricaudus
Myiobius barbatus,Myiobius barbatus
Myiothlypis leucophrys,Myiothlypis leucophrys
Myiothlypis rivularis,Myiothlypis rivularis
Myrmeciza ruficauda,Myrmoderus ruficauda
Myrmeciza squamosa,Myrmoderus squamosus
Myrmoderus ruficauda ruficauda,Myrmoderus ruficauda ruficauda
Myrmoderus ruficaudus,Myrmoderus ruficauda
Myrmoderus squamosus,Myrmoderus squamosus
Myrmotherula klagesi,Myrmotherula klagesi
Myrmotherula minor,Myrmotherula minor
Myrmotherula unicolor,Myrmotherula unicolor
Myrmotherula urosticta,Myrmotherula urosticta
Nemosia rourei,Nemosia rourei
Neocrex erythrops,Neocrex erythrops
Neomorphus geoffroyi,Neomorphus geoffroyi
Neomorphus geoffroyi dulcis,Neomorphus geoffroyi dulcis
Neopelma aurifrons,Neopelma aurifrons
Neothraupis fasciata,Neothraupis fasciata
Netta erythrophthalma,Netta erythrophthalma
Netta peposaca,Netta peposaca
Nonnula rubecula,Nonnula rubecula
Nonnula rubecula rubecula,Nonnula rubecula rubecula
Notharchus swainsoni,Notharchus swainsoni
Nothura minor,Nothura minor
Numenius borealis,Numenius borealis
Numenius hudsonicus,Numenius hudsonicus
Nyctanassa violacea,Nyctanassa violacea
Nyctibius aethereus,Nyctibius aethereus
Nyctibius aethereus aethereus,Nyctibius aethereus aethereus
Nyctibius grandis,Nyctibius grandis
Nyctibius grandis grandis,Nyctibius grandis grandis
Nyctibius leucopterus,Nyctibius leucopterus
Nycticryphes semicollaris,Nycticryphes semicollaris
Nyctidromus hirundinaceus,Nyctidromus hirundinaceus
Nyctiphrynus ocellatus,Nyctiphrynus ocellatus
Nystalus maculatus,Nystalus maculatus
Oceanites oceanicus,Oceanites oceanicus
Odontophorus capueira,Odontophorus capueira
Onychoprion fuscatus fuscatus,Onychoprion fuscatus fuscatus
Onychorhynchus coronatus,Onychorhynchus coronatus
Onychorhynchus swainsoni,Onychorhynchus swainsoni
Onycorhynchus coronatus,Onychorhynchus coronatus
Onycorhynchus swainsoni,Onychorhynchus swainsoni
Orchesticus abeillei,Orchesticus abeillei
Ornithion inerme,Ornithion inerme
Ortalis guttata,Ortalis guttata
Ortalis guttata remota,Ortalis remota
Ortalis squamata,Ortalis squamata
