"Especie","Nome_Comum","Categoria"
"Aramus guarauna","carao","Pouco Preocupante"
"Psophia napensis","jacamim-do-napo",NA
"Psophia crepitans","jacamim-de-costas-cinzentas","Quase Ameaçada"
"Psophia ochroptera","jacamim-de-costas-amarelas","Pouco Preocupante"
"Psophia leucoptera","jacamim-de-costas-brancas","Quase Ameaçada"
"Psophia viridis","jacamim-de-costas-verdes","Vulnerável"
"Psophia dextralis","jacamim-de-costas-marrons","Em Perigo"
"Psophia interjecta","jacamim-do-xingu",NA
"Psophia obscura","jacamim-de-costas-escuras","Em Perigo Crítico"
"Crex crex","codornizao","Pouco Preocupante"
"Rallus longirostris","saracura-matraca","Pouco Preocupante"
"Porphyrio martinica","frango-d'agua-azul","Pouco Preocupante"
"Porphyrio alleni","frango-d'agua-africano",NA
"Porphyrio flavirostris","frango-d'agua-pequeno","Pouco Preocupante"
"Anurolimnas castaneiceps","sana-de-cabeca-castanha","Pouco Preocupante"
"Rufirallus viridis","sana-castanha","Pouco Preocupante"
"Laterallus fasciatus","sana-zebrada","Pouco Preocupante"
"Laterallus flaviventer","sana-amarela","Pouco Preocupante"
"Laterallus melanophaius","sana-parda","Pouco Preocupante"
"Laterallus exilis","sana-do-capim","Pouco Preocupante"
"Laterallus jamaicensis","sana-preta","Quase Ameaçada"
"Laterallus spilopterus","sana-cinza","Vulnerável"
"Laterallus leucopyrrhus","sana-vermelha","Pouco Preocupante"
"Laterallus xenopterus","sana-de-cara-ruiva","Vulnerável"
"Coturnicops notatus","pinto-d'agua-carijo","Pouco Preocupante"
"Micropygia schomburgkii","maxalalaga","Pouco Preocupante"
"Mustelirallus albicollis","sana-carijo","Pouco Preocupante"
"Neocrex erythrops","turu-turu","Pouco Preocupante"
"Pardirallus maculatus","saracura-carijo","Pouco Preocupante"
"Pardirallus nigricans","saracura-sana","Pouco Preocupante"
"Pardirallus sanguinolentus","saracura-do-banhado","Pouco Preocupante"
"Amaurolimnas concolor","saracura-lisa","Pouco Preocupante"
"Aramides ypecaha","saracurucu","Pouco Preocupante"
"Aramides mangle","saracura-do-mangue","Pouco Preocupante"
"Aramides cajaneus","saracura-tres-potes","Pouco Preocupante"
"Aramides saracura","saracura-do-mato","Pouco Preocupante"
"Porphyriops melanops","galinha-d'agua-carijo","Pouco Preocupante"
"Porzana carolina","sora",NA
"Paragallinula angulata","galinha-d'agua-pequena","Pouco Preocupante"
"Gallinula galeata","galinha-d'agua","Pouco Preocupante"
"Fulica rufifrons","carqueja-de-escudo-vermelho","Pouco Preocupante"
"Fulica armillata","carqueja-de-bico-manchado","Pouco Preocupante"
"Fulica leucoptera","carqueja-de-bico-amarelo","Pouco Preocupante"
